entity1_index,entity2_index,y
59.0,30.0,0.0
213.0,94.0,2.0
222.0,114.0,1.0
266.0,239.0,2.0
78.0,48.0,2.0
292.0,189.0,2.0
117.0,299.0,1.0
23.0,111.0,0.0
214.0,290.0,2.0
189.0,239.0,2.0
226.0,167.0,2.0
49.0,160.0,1.0
29.0,203.0,1.0
234.0,142.0,2.0
292.0,13.0,2.0
211.0,180.0,2.0
116.0,9.0,0.0
34.0,3.0,0.0
81.0,151.0,1.0
110.0,53.0,0.0
37.0,138.0,0.0
7.0,105.0,2.0
70.0,101.0,1.0
36.0,16.0,0.0
66.0,208.0,2.0
289.0,222.0,2.0
299.0,255.0,2.0
48.0,24.0,0.0
156.0,114.0,2.0
88.0,95.0,0.0
293.0,21.0,1.0
184.0,241.0,2.0
194.0,289.0,2.0
289.0,270.0,2.0
219.0,126.0,2.0
38.0,217.0,2.0
87.0,3.0,0.0
283.0,103.0,2.0
213.0,73.0,2.0
189.0,191.0,1.0
49.0,194.0,2.0
48.0,175.0,2.0
84.0,143.0,1.0
299.0,113.0,2.0
137.0,70.0,1.0
24.0,217.0,2.0
299.0,125.0,2.0
91.0,14.0,1.0
126.0,51.0,2.0
270.0,123.0,2.0
245.0,234.0,1.0
182.0,241.0,2.0
248.0,280.0,2.0
293.0,143.0,2.0
192.0,264.0,2.0
42.0,273.0,1.0
127.0,236.0,1.0
164.0,162.0,2.0
69.0,102.0,0.0
221.0,226.0,2.0
112.0,191.0,1.0
297.0,199.0,2.0
260.0,184.0,2.0
0.0,277.0,1.0
245.0,122.0,1.0
115.0,178.0,0.0
181.0,205.0,2.0
221.0,223.0,2.0
133.0,239.0,1.0
282.0,239.0,2.0
208.0,23.0,1.0
33.0,133.0,2.0
280.0,139.0,2.0
169.0,273.0,1.0
256.0,102.0,2.0
16.0,192.0,0.0
160.0,248.0,2.0
158.0,128.0,1.0
105.0,193.0,2.0
209.0,154.0,2.0
256.0,294.0,1.0
117.0,248.0,1.0
255.0,39.0,2.0
298.0,252.0,1.0
234.0,64.0,1.0
201.0,139.0,2.0
151.0,5.0,0.0
163.0,151.0,2.0
88.0,150.0,2.0
145.0,115.0,2.0
200.0,238.0,2.0
149.0,298.0,1.0
176.0,291.0,2.0
118.0,137.0,1.0
253.0,98.0,1.0
260.0,289.0,2.0
145.0,70.0,2.0
104.0,49.0,2.0
117.0,270.0,1.0
221.0,21.0,2.0
112.0,171.0,1.0
124.0,264.0,2.0
83.0,112.0,2.0
283.0,114.0,2.0
208.0,81.0,2.0
58.0,182.0,1.0
19.0,149.0,0.0
182.0,52.0,1.0
149.0,128.0,2.0
183.0,41.0,2.0
169.0,98.0,1.0
273.0,107.0,1.0
267.0,211.0,2.0
43.0,257.0,0.0
220.0,270.0,1.0
165.0,23.0,0.0
91.0,211.0,2.0
203.0,109.0,2.0
271.0,76.0,2.0
78.0,172.0,2.0
268.0,232.0,2.0
16.0,3.0,0.0
41.0,38.0,0.0
32.0,268.0,0.0
179.0,200.0,2.0
235.0,116.0,2.0
182.0,205.0,1.0
203.0,244.0,1.0
275.0,32.0,2.0
2.0,82.0,0.0
87.0,260.0,2.0
55.0,104.0,2.0
131.0,203.0,1.0
79.0,11.0,0.0
137.0,165.0,1.0
59.0,57.0,0.0
195.0,258.0,2.0
67.0,77.0,1.0
239.0,18.0,1.0
208.0,97.0,1.0
69.0,147.0,1.0
221.0,187.0,2.0
136.0,23.0,0.0
125.0,18.0,0.0
134.0,226.0,2.0
291.0,24.0,2.0
253.0,121.0,2.0
68.0,43.0,0.0
247.0,223.0,1.0
256.0,238.0,1.0
26.0,134.0,2.0
250.0,131.0,2.0
155.0,57.0,2.0
213.0,118.0,2.0
292.0,65.0,2.0
123.0,139.0,2.0
117.0,167.0,1.0
245.0,120.0,1.0
244.0,78.0,1.0
227.0,54.0,0.0
238.0,148.0,1.0
87.0,1.0,0.0
149.0,299.0,2.0
258.0,86.0,2.0
273.0,172.0,1.0
217.0,221.0,1.0
9.0,211.0,0.0
205.0,52.0,1.0
43.0,1.0,0.0
204.0,240.0,2.0
133.0,170.0,2.0
105.0,134.0,2.0
67.0,92.0,0.0
234.0,181.0,2.0
47.0,9.0,0.0
99.0,149.0,2.0
79.0,42.0,1.0
5.0,99.0,2.0
4.0,131.0,0.0
24.0,95.0,0.0
71.0,89.0,0.0
70.0,140.0,2.0
21.0,231.0,2.0
105.0,126.0,1.0
110.0,55.0,0.0
92.0,243.0,2.0
214.0,54.0,2.0
80.0,189.0,2.0
156.0,44.0,2.0
195.0,195.0,2.0
174.0,0.0,2.0
121.0,269.0,2.0
85.0,216.0,2.0
90.0,126.0,2.0
92.0,67.0,0.0
297.0,252.0,1.0
37.0,10.0,0.0
294.0,281.0,2.0
140.0,199.0,1.0
167.0,117.0,1.0
198.0,280.0,1.0
294.0,296.0,1.0
95.0,61.0,0.0
297.0,26.0,2.0
130.0,117.0,1.0
286.0,52.0,1.0
147.0,171.0,1.0
181.0,0.0,2.0
191.0,173.0,1.0
162.0,67.0,0.0
64.0,104.0,2.0
291.0,154.0,2.0
290.0,159.0,2.0
45.0,155.0,0.0
280.0,217.0,1.0
217.0,247.0,1.0
111.0,224.0,2.0
283.0,55.0,2.0
0.0,216.0,2.0
149.0,52.0,2.0
249.0,146.0,2.0
234.0,194.0,1.0
288.0,13.0,1.0
105.0,118.0,1.0
77.0,157.0,2.0
175.0,156.0,1.0
54.0,225.0,2.0
109.0,6.0,0.0
176.0,101.0,1.0
136.0,197.0,2.0
274.0,131.0,2.0
206.0,267.0,2.0
200.0,31.0,0.0
120.0,40.0,0.0
273.0,235.0,1.0
181.0,6.0,0.0
91.0,73.0,2.0
141.0,0.0,1.0
133.0,189.0,1.0
252.0,88.0,1.0
57.0,243.0,2.0
80.0,144.0,0.0
98.0,56.0,2.0
231.0,267.0,1.0
15.0,72.0,0.0
245.0,228.0,1.0
235.0,96.0,2.0
38.0,69.0,0.0
5.0,4.0,0.0
210.0,108.0,2.0
279.0,252.0,2.0
103.0,44.0,0.0
285.0,207.0,2.0
182.0,238.0,1.0
22.0,64.0,0.0
50.0,287.0,2.0
124.0,34.0,0.0
126.0,130.0,2.0
270.0,46.0,2.0
27.0,211.0,0.0
37.0,167.0,0.0
25.0,64.0,0.0
159.0,60.0,2.0
59.0,88.0,0.0
106.0,141.0,2.0
195.0,196.0,1.0
202.0,166.0,2.0
203.0,280.0,1.0
1.0,36.0,0.0
291.0,165.0,1.0
120.0,107.0,2.0
63.0,81.0,2.0
193.0,164.0,2.0
57.0,247.0,1.0
253.0,27.0,2.0
283.0,72.0,2.0
183.0,222.0,2.0
211.0,119.0,1.0
144.0,94.0,2.0
174.0,163.0,2.0
114.0,252.0,2.0
105.0,25.0,1.0
267.0,79.0,2.0
279.0,154.0,1.0
121.0,130.0,2.0
294.0,288.0,2.0
292.0,10.0,2.0
223.0,137.0,2.0
249.0,133.0,2.0
53.0,182.0,2.0
294.0,5.0,2.0
75.0,105.0,2.0
1.0,89.0,0.0
277.0,76.0,2.0
29.0,30.0,0.0
252.0,163.0,1.0
88.0,299.0,1.0
87.0,69.0,0.0
201.0,271.0,2.0
259.0,138.0,1.0
294.0,123.0,1.0
99.0,233.0,2.0
71.0,273.0,1.0
16.0,150.0,0.0
90.0,33.0,2.0
235.0,267.0,2.0
17.0,294.0,2.0
198.0,168.0,1.0
142.0,67.0,1.0
218.0,19.0,0.0
234.0,129.0,2.0
251.0,168.0,1.0
234.0,283.0,1.0
239.0,17.0,0.0
125.0,43.0,0.0
11.0,55.0,0.0
285.0,212.0,2.0
9.0,244.0,2.0
296.0,34.0,2.0
154.0,19.0,2.0
30.0,44.0,0.0
82.0,286.0,2.0
272.0,38.0,2.0
65.0,184.0,1.0
206.0,124.0,2.0
228.0,82.0,2.0
147.0,192.0,1.0
142.0,169.0,1.0
183.0,123.0,2.0
193.0,227.0,2.0
258.0,267.0,2.0
25.0,41.0,0.0
133.0,0.0,1.0
265.0,174.0,2.0
266.0,272.0,1.0
229.0,251.0,2.0
136.0,210.0,2.0
218.0,166.0,2.0
280.0,3.0,1.0
108.0,294.0,1.0
104.0,146.0,1.0
90.0,277.0,2.0
148.0,292.0,1.0
3.0,197.0,0.0
45.0,190.0,2.0
233.0,117.0,2.0
139.0,280.0,2.0
231.0,219.0,1.0
79.0,259.0,1.0
165.0,203.0,1.0
283.0,230.0,2.0
77.0,130.0,1.0
81.0,66.0,0.0
19.0,47.0,0.0
258.0,23.0,2.0
202.0,141.0,2.0
176.0,85.0,2.0
177.0,214.0,1.0
218.0,49.0,2.0
187.0,71.0,0.0
60.0,231.0,1.0
1.0,54.0,0.0
107.0,210.0,2.0
165.0,190.0,1.0
259.0,126.0,1.0
130.0,28.0,1.0
112.0,217.0,1.0
187.0,298.0,2.0
36.0,214.0,2.0
195.0,84.0,1.0
38.0,254.0,0.0
168.0,91.0,1.0
198.0,288.0,2.0
64.0,1.0,0.0
52.0,219.0,1.0
79.0,114.0,0.0
233.0,106.0,2.0
4.0,20.0,0.0
281.0,41.0,2.0
237.0,135.0,2.0
68.0,236.0,1.0
117.0,156.0,1.0
256.0,121.0,2.0
280.0,5.0,2.0
165.0,18.0,0.0
119.0,180.0,1.0
192.0,172.0,2.0
99.0,143.0,2.0
92.0,93.0,0.0
205.0,259.0,2.0
39.0,270.0,2.0
110.0,2.0,0.0
75.0,284.0,2.0
78.0,120.0,1.0
205.0,124.0,2.0
196.0,216.0,2.0
189.0,112.0,2.0
87.0,100.0,0.0
72.0,275.0,2.0
299.0,261.0,1.0
153.0,222.0,2.0
107.0,149.0,0.0
210.0,237.0,2.0
276.0,113.0,2.0
273.0,267.0,1.0
105.0,28.0,2.0
105.0,167.0,2.0
299.0,122.0,1.0
240.0,253.0,2.0
297.0,200.0,1.0
62.0,169.0,2.0
223.0,67.0,2.0
264.0,124.0,2.0
238.0,216.0,1.0
244.0,227.0,2.0
215.0,206.0,1.0
247.0,84.0,1.0
209.0,281.0,2.0
39.0,21.0,2.0
155.0,158.0,2.0
90.0,224.0,2.0
5.0,298.0,2.0
213.0,191.0,2.0
233.0,210.0,2.0
46.0,280.0,1.0
140.0,82.0,1.0
91.0,66.0,1.0
137.0,196.0,1.0
265.0,101.0,2.0
252.0,187.0,1.0
86.0,226.0,2.0
197.0,231.0,1.0
29.0,131.0,0.0
133.0,191.0,1.0
8.0,153.0,0.0
62.0,31.0,0.0
14.0,234.0,2.0
276.0,139.0,2.0
256.0,132.0,2.0
271.0,22.0,2.0
46.0,156.0,1.0
197.0,173.0,1.0
281.0,170.0,2.0
219.0,276.0,2.0
4.0,58.0,0.0
221.0,1.0,2.0
149.0,182.0,1.0
76.0,248.0,2.0
148.0,195.0,2.0
167.0,187.0,2.0
198.0,198.0,2.0
220.0,14.0,2.0
9.0,59.0,0.0
173.0,193.0,2.0
274.0,52.0,1.0
195.0,290.0,2.0
175.0,241.0,1.0
106.0,281.0,2.0
16.0,146.0,0.0
193.0,171.0,2.0
188.0,261.0,2.0
62.0,146.0,0.0
64.0,249.0,2.0
256.0,82.0,2.0
2.0,214.0,0.0
39.0,226.0,1.0
260.0,165.0,1.0
228.0,224.0,1.0
62.0,293.0,2.0
199.0,271.0,2.0
251.0,77.0,2.0
159.0,123.0,0.0
139.0,272.0,2.0
70.0,266.0,1.0
40.0,126.0,2.0
286.0,228.0,1.0
156.0,14.0,1.0
147.0,161.0,2.0
294.0,77.0,1.0
148.0,288.0,2.0
45.0,272.0,2.0
257.0,274.0,2.0
247.0,205.0,1.0
232.0,128.0,2.0
65.0,147.0,2.0
63.0,294.0,1.0
211.0,116.0,2.0
104.0,1.0,2.0
186.0,274.0,1.0
7.0,188.0,2.0
162.0,202.0,1.0
278.0,44.0,2.0
38.0,180.0,2.0
71.0,260.0,1.0
66.0,57.0,0.0
21.0,110.0,2.0
279.0,134.0,2.0
97.0,255.0,2.0
229.0,95.0,2.0
175.0,67.0,2.0
103.0,96.0,0.0
193.0,187.0,2.0
141.0,202.0,2.0
155.0,145.0,2.0
58.0,134.0,0.0
174.0,139.0,2.0
296.0,223.0,2.0
47.0,297.0,2.0
18.0,220.0,2.0
282.0,86.0,2.0
164.0,24.0,0.0
241.0,12.0,2.0
21.0,82.0,2.0
77.0,127.0,1.0
143.0,22.0,1.0
142.0,55.0,0.0
169.0,237.0,1.0
152.0,292.0,2.0
212.0,143.0,2.0
230.0,21.0,1.0
78.0,274.0,1.0
199.0,182.0,1.0
272.0,66.0,2.0
294.0,199.0,2.0
148.0,130.0,2.0
149.0,218.0,2.0
224.0,35.0,1.0
234.0,206.0,1.0
278.0,165.0,2.0
254.0,123.0,2.0
160.0,29.0,2.0
30.0,273.0,1.0
175.0,111.0,2.0
266.0,168.0,2.0
149.0,64.0,0.0
4.0,104.0,2.0
125.0,119.0,2.0
116.0,260.0,1.0
15.0,55.0,0.0
121.0,147.0,2.0
98.0,262.0,1.0
265.0,298.0,2.0
121.0,232.0,2.0
64.0,89.0,0.0
296.0,238.0,2.0
160.0,201.0,2.0
102.0,36.0,0.0
148.0,229.0,2.0
196.0,212.0,1.0
42.0,161.0,1.0
63.0,126.0,1.0
277.0,234.0,2.0
47.0,95.0,0.0
225.0,27.0,0.0
135.0,167.0,2.0
92.0,272.0,2.0
290.0,85.0,2.0
242.0,24.0,2.0
206.0,208.0,1.0
124.0,225.0,2.0
296.0,179.0,2.0
214.0,156.0,1.0
217.0,23.0,1.0
32.0,158.0,0.0
172.0,191.0,2.0
165.0,238.0,1.0
190.0,31.0,0.0
251.0,26.0,2.0
113.0,150.0,0.0
139.0,30.0,0.0
217.0,177.0,1.0
220.0,240.0,2.0
114.0,38.0,0.0
292.0,182.0,1.0
271.0,62.0,2.0
68.0,246.0,2.0
179.0,269.0,2.0
132.0,32.0,0.0
223.0,235.0,2.0
93.0,230.0,2.0
131.0,71.0,2.0
227.0,106.0,1.0
181.0,254.0,2.0
39.0,207.0,2.0
252.0,216.0,1.0
182.0,82.0,1.0
201.0,189.0,1.0
143.0,299.0,1.0
168.0,149.0,1.0
161.0,289.0,2.0
119.0,194.0,2.0
296.0,143.0,2.0
217.0,48.0,2.0
130.0,297.0,2.0
188.0,289.0,2.0
7.0,139.0,1.0
133.0,195.0,1.0
188.0,166.0,2.0
205.0,223.0,2.0
229.0,253.0,2.0
121.0,182.0,1.0
271.0,135.0,2.0
13.0,271.0,2.0
159.0,29.0,0.0
220.0,168.0,1.0
180.0,117.0,1.0
189.0,290.0,1.0
124.0,280.0,2.0
